ax,ay,az,gx,gy,gz,target
6.06,-1.01,7.74,0.28,-0.09,-0.01,IDLE
6.31,-0.79,7.81,0.23,-0.09,-0.01,IDLE
6.5,-0.39,7.84,0.28,-0.11,0.01,IDLE
6.4,-1.11,8.13,0.32,-0.12,0.02,IDLE
5.88,-0.89,8.29,0.28,-0.08,-0.01,IDLE
5.75,-0.52,7.69,0.24,-0.05,-0.02,IDLE
6.2,-0.68,7.64,0.28,-0.09,0.01,IDLE
6.48,-1.2,8.11,0.3,-0.12,0.02,IDLE
6.29,-0.75,8.11,0.27,-0.09,-0.01,IDLE
6.19,-0.4,8.03,0.25,-0.07,-0.02,IDLE
5.84,-0.72,8.03,0.29,-0.07,0.0,IDLE
5.77,-1.32,8.18,0.28,-0.08,0.02,IDLE
6.38,-0.68,7.5,0.27,-0.08,-0.0,IDLE
6.76,-0.2,7.36,0.28,-0.1,-0.02,IDLE
6.1,-1.12,8.36,0.28,-0.09,0.0,IDLE
5.81,-1.16,8.53,0.28,-0.09,0.02,IDLE
5.98,-0.47,7.51,0.28,-0.06,-0.01,IDLE
6.38,-0.44,7.18,0.28,-0.08,-0.02,IDLE
6.4,-1.17,8.01,0.27,-0.11,0.0,IDLE
6.23,-0.91,8.31,0.26,-0.1,0.02,IDLE
6.31,-0.65,7.7,0.3,-0.09,0.0,IDLE
6.16,-0.49,7.35,0.29,-0.08,-0.02,IDLE
5.77,-1.24,8.05,0.26,-0.08,-0.0,IDLE
6.03,-0.9,7.88,0.26,-0.09,0.02,IDLE
6.84,-0.51,7.37,0.3,-0.11,0.0,IDLE
6.6,-0.72,7.81,0.3,-0.1,-0.02,IDLE
5.7,-1.11,8.48,0.25,-0.08,-0.01,IDLE
5.71,-0.58,7.83,0.26,-0.07,0.01,IDLE
6.3,-0.65,7.4,0.31,-0.08,0.0,IDLE
6.7,-0.86,7.53,0.29,-0.11,-0.01,IDLE
6.32,-1.02,8.19,0.24,-0.11,-0.01,IDLE
6.0,-0.52,8.16,0.27,-0.09,0.01,IDLE
6.15,-0.79,7.68,0.32,-0.09,0.01,IDLE
6.12,-1.02,7.75,0.28,-0.09,-0.01,IDLE
5.85,-0.96,7.83,0.23,-0.08,-0.01,IDLE
6.48,-0.39,7.62,0.27,-0.1,0.01,IDLE
6.7,-1.02,7.86,0.32,-0.12,0.01,IDLE
6.0,-1.05,8.35,0.28,-0.09,-0.0,IDLE
5.55,-0.55,7.91,0.23,-0.05,-0.02,IDLE
6.12,-0.61,7.52,0.28,-0.08,0.0,IDLE
6.46,-1.22,7.69,0.31,-0.11,0.02,IDLE
6.45,-0.94,7.99,0.27,-0.11,-0.0,IDLE
6.14,-0.41,8.06,0.24,-0.08,-0.02,IDLE
6.0,-0.55,7.91,0.3,-0.07,0.0,IDLE
5.83,-1.41,8.21,0.29,-0.09,0.02,IDLE
6.12,-0.84,7.65,0.27,-0.08,-0.0,IDLE
6.42,-0.31,7.35,0.25,-0.07,-0.03,IDLE
6.62,-0.77,7.81,0.3,-0.11,0.0,IDLE
5.98,-1.34,8.61,0.29,-0.1,0.03,IDLE
5.79,-0.59,7.9,0.27,-0.06,-0.01,IDLE
6.22,-0.27,7.11,0.27,-0.06,-0.03,IDLE
6.43,-1.08,7.85,0.28,-0.11,0.0,IDLE
6.31,-1.32,8.06,0.27,-0.11,0.02,IDLE
6.48,-0.51,7.76,0.28,-0.09,-0.0,IDLE
6.36,-0.14,7.58,0.29,-0.07,-0.02,IDLE
5.8,-1.22,8.0,0.27,-0.08,-0.01,IDLE
5.84,-1.12,8.07,0.25,-0.09,0.02,IDLE
6.7,-0.44,7.24,0.29,-0.1,-0.0,IDLE
6.93,-0.38,7.29,0.29,-0.1,-0.02,IDLE
6.19,-1.12,8.34,0.27,-0.1,0.0,IDLE
5.66,-1.01,8.5,0.25,-0.07,0.01,IDLE
6.11,-0.55,7.42,0.3,-0.07,0.0,IDLE
6.67,-0.57,7.22,0.3,-0.1,-0.02,IDLE
