ax,ay,az,gx,gy,gz,target
5.35,-1.05,8.52,0.36,-0.11,0.21,MOV1
5.66,-0.68,8.22,0.41,-0.11,0.22,MOV1
6.72,-0.49,7.55,0.44,-0.13,0.2,MOV1
6.45,-0.49,8.0,0.41,-0.13,0.16,MOV1
5.42,-0.87,8.6,0.36,-0.11,0.2,MOV1
5.53,-0.65,8.48,0.41,-0.1,0.22,MOV1
6.32,-0.46,7.54,0.43,-0.11,0.19,MOV1
6.42,-0.62,7.66,0.4,-0.13,0.16,MOV1
5.84,-0.84,8.31,0.35,-0.13,0.19,MOV1
5.79,-0.57,8.35,0.41,-0.1,0.21,MOV1
6.4,-0.61,7.81,0.44,-0.12,0.19,MOV1
6.09,-0.57,7.95,0.39,-0.11,0.15,MOV1
5.42,-0.88,8.28,0.34,-0.11,0.18,MOV1
5.99,-0.61,8.0,0.4,-0.11,0.2,MOV1
6.79,-0.67,7.72,0.44,-0.14,0.19,MOV1
6.17,-0.68,8.14,0.39,-0.12,0.15,MOV1
5.26,-0.63,8.48,0.34,-0.09,0.17,MOV1
5.57,-0.55,8.05,0.4,-0.09,0.2,MOV1
6.54,-0.84,7.58,0.43,-0.13,0.19,MOV1
6.44,-0.75,7.81,0.39,-0.14,0.16,MOV1
5.61,-0.54,8.51,0.34,-0.11,0.17,MOV1
5.79,-0.56,8.06,0.41,-0.1,0.2,MOV1
6.27,-0.92,7.84,0.44,-0.13,0.21,MOV1
6.0,-0.82,7.79,0.4,-0.11,0.16,MOV1
5.66,-0.62,8.21,0.35,-0.1,0.18,MOV1
6.22,-0.54,7.93,0.42,-0.12,0.21,MOV1
6.42,-0.87,7.97,0.45,-0.14,0.21,MOV1
5.81,-0.77,8.18,0.4,-0.1,0.16,MOV1
