ax,ay,az,gx,gy,gz,target
5.67,-0.98,7.59,0.31,-0.05,-0.0,ANOM1
6.55,-1.68,7.61,0.37,-0.1,0.03,ANOM1
6.38,-1.81,8.36,0.36,-0.12,0.04,ANOM1
5.75,-1.26,8.16,0.34,-0.06,-0.02,ANOM1
5.77,-0.35,7.7,0.34,-0.04,-0.05,ANOM1
5.91,-1.54,7.91,0.36,-0.09,-0.03,ANOM1
5.63,-1.18,8.45,0.35,-0.1,-0.03,ANOM1
5.98,-0.49,7.78,0.33,-0.07,-0.08,ANOM1
6.2,0.41,7.68,0.32,-0.08,-0.09,ANOM1
5.96,-0.9,8.5,0.32,-0.11,-0.05,ANOM1
5.32,-0.23,8.56,0.28,-0.09,-0.03,ANOM1
5.95,0.25,7.41,0.29,-0.07,-0.08,ANOM1
6.26,0.61,7.29,0.26,-0.09,-0.08,ANOM1
6.5,-0.84,8.33,0.26,-0.14,-0.02,ANOM1
5.76,0.1,8.53,0.25,-0.11,0.01,ANOM1
5.97,0.23,7.71,0.27,-0.07,-0.03,ANOM1
6.04,0.34,7.43,0.25,-0.08,-0.01,ANOM1
5.95,-1.09,8.35,0.22,-0.12,0.06,ANOM1
5.8,-0.09,8.03,0.23,-0.11,0.08,ANOM1
6.69,-0.16,7.46,0.26,-0.1,0.05,ANOM1
6.54,-0.13,7.79,0.23,-0.1,0.05,ANOM1
5.76,-1.37,8.5,0.19,-0.1,0.09,ANOM1
5.53,-0.36,7.95,0.21,-0.07,0.08,ANOM1
6.78,-0.72,7.13,0.24,-0.09,0.04,ANOM1
6.94,-0.72,7.35,0.21,-0.11,0.03,ANOM1
6.1,-1.73,8.49,0.16,-0.12,0.06,ANOM1
5.58,-0.87,8.24,0.2,-0.06,0.05,ANOM1
6.48,-1.17,7.34,0.23,-0.06,0.01,ANOM1
6.49,-1.37,7.54,0.21,-0.09,0.01,ANOM1
5.96,-1.83,8.37,0.18,-0.09,0.03,ANOM1
6.05,-1.22,7.88,0.23,-0.07,0.04,ANOM1
6.63,-1.36,7.41,0.29,-0.09,0.02,ANOM1
5.97,-1.44,8.0,0.26,-0.07,0.01,ANOM1
5.41,-1.81,8.26,0.23,-0.06,0.02,ANOM1
6.12,-1.44,7.82,0.28,-0.06,0.01,ANOM1
6.82,-1.9,7.7,0.33,-0.1,0.01,ANOM1
6.47,-1.56,7.93,0.31,-0.09,-0.03,ANOM1
5.48,-1.65,8.59,0.29,-0.05,-0.03,ANOM1
5.77,-1.27,7.89,0.35,-0.05,-0.03,ANOM1
6.16,-1.62,7.75,0.37,-0.09,-0.03,ANOM1
5.97,-1.44,8.08,0.36,-0.09,-0.06,ANOM1
5.68,-0.79,8.05,0.32,-0.07,-0.06,ANOM1
6.12,-0.73,7.94,0.38,-0.09,-0.04,ANOM1
6.11,-1.24,8.1,0.39,-0.11,-0.04,ANOM1
